Datetime,Real_Energy_Demand_MW,hour,day_of_week,month,day_of_year,lag_1h,lag_2h,lag_24h,rolling_mean_24h,rolling_std_24h
2018-01-01 12:00:00,11074.984,12,0,1,1,11193.69,11195.776,10148.17,9067.850666666667,2065.496296520285
2018-01-01 12:30:00,10970.838,12,0,1,1,11074.984,11193.69,9810.77,9106.467916666666,2095.0254457255123
2018-01-01 13:00:00,10993.756,13,0,1,1,10970.838,11074.984,9390.056,9154.804083333334,2125.147446161425
2018-01-01 13:30:00,10883.366,13,0,1,1,10993.756,10970.838,8404.946,9221.624916666666,2157.827293723821
2018-01-01 14:00:00,10856.29,14,0,1,1,10883.366,10993.756,7515.624,9324.892416666667,2176.270315862197
2018-01-01 14:30:00,10679.26,14,0,1,1,10856.29,10883.366,6905.392,9464.086833333333,2162.3078604433904
2018-01-01 15:00:00,10535.55,15,0,1,1,10679.26,10856.29,6405.536,9621.331333333334,2104.5968126196817
2018-01-01 15:30:00,10693.848,15,0,1,1,10535.55,10679.26,6138.948,9793.41525,1996.2822539871288
2018-01-01 16:00:00,10789.65,16,0,1,1,10693.848,10535.55,5889.02,9983.202749999999,1844.4920407931145
2018-01-01 16:30:00,11043.736,16,0,1,1,10789.65,10693.848,5968.162,10187.395666666667,1630.3750072760834
2018-01-01 17:00:00,11741.44,17,0,1,1,11043.736,10789.65,6365.9580000000005,10398.877916666666,1367.237988619515
2018-01-01 17:30:00,12572.452,17,0,1,1,11741.44,11043.736,6974.118,10622.856333333335,1090.0508853147783
2018-01-01 18:00:00,12226.722,18,0,1,1,12572.452,11741.44,8182.094,10856.12025,847.2614188214923
2018-01-01 18:30:00,11656.054,18,0,1,1,12226.722,12572.452,9465.04,11024.646416666668,677.4986311848745
2018-01-01 19:00:00,10958.35,19,0,1,1,11656.054,12226.722,9631.654,11115.938666666667,601.5697528842933
2018-01-01 19:30:00,10589.702,19,0,1,1,10958.35,11656.054,10470.996,11171.217666666666,513.7998528625883
2018-01-01 20:00:00,10248.144,20,0,1,1,10589.702,10958.35,10835.472000000002,11176.16375,507.29631169556995
2018-01-01 20:30:00,9771.206,20,0,1,1,10248.144,10589.702,10906.284,11151.69175,537.701076558276
2018-01-01 21:00:00,9163.045999999998,21,0,1,1,9771.206,10248.144,11456.12,11104.396833333334,605.8285315100451
2018-01-01 21:30:00,8840.22,21,0,1,1,9163.045999999998,9771.206,11649.81,11008.852083333333,718.3220638543604
2018-01-01 22:00:00,9667.06,22,0,1,1,8840.22,9163.045999999998,11489.44,10891.785833333333,829.6390364187788
2018-01-01 22:30:00,10004.46,22,0,1,1,9667.06,8840.22,11235.34,10815.853333333333,855.5523616684146
2018-01-01 23:00:00,10233.556,23,0,1,1,10004.46,9667.06,11195.776,10764.566666666666,866.1400817368889
2018-01-01 23:30:00,10173.16,23,0,1,1,10233.556,10004.46,11193.69,10724.474166666667,867.580889124598
2018-01-02 00:00:00,10200.236,0,1,1,2,10173.16,10233.556,11074.984,10681.952083333334,868.5923277354335
2018-01-02 00:30:00,9752.46,0,1,1,2,10200.236,10173.16,10970.838,10645.50425,869.7351960705806
2018-01-02 01:00:00,9304.67,1,1,1,2,9752.46,10200.236,10993.756,10594.7385,885.3380162682629
2018-01-02 01:30:00,8434.094000000001,1,1,1,2,9304.67,9752.46,10883.366,10524.359916666666,918.7449984418436
2018-01-02 02:00:00,7611.426,2,1,1,2,8434.094000000001,9304.67,10856.29,10422.306916666666,1008.7550493126315
2018-01-02 02:30:00,6997.022000000001,2,1,1,2,7611.426,8434.094000000001,10679.26,10287.10425,1154.9231328479127
2018-01-02 03:00:00,6503.424,3,1,1,2,6997.022000000001,7611.426,10535.55,10133.677666666666,1331.6285072152834
2018-01-02 03:30:00,6126.446,3,1,1,2,6503.424,6997.022000000001,10693.848,9965.672416666666,1519.7856691514935
2018-01-02 04:00:00,5939.0,4,1,1,2,6126.446,6503.424,10789.65,9775.364,1699.9286404333463
2018-01-02 04:30:00,5988.994000000001,4,1,1,2,5939.0,6126.446,11043.736,9573.253583333333,1855.3444020744134
2018-01-02 05:00:00,6403.45,5,1,1,2,5988.994000000001,5939.0,11741.44,9362.639333333333,1964.8317007783485
2018-01-02 05:30:00,7003.266,5,1,1,2,6403.45,5988.994000000001,12572.452,9140.223083333332,1985.861069019244
2018-01-02 06:00:00,8234.16,6,1,1,2,7003.266,6403.45,12226.722,8908.173666666667,1890.455203317575
2018-01-02 06:30:00,9502.532,6,1,1,2,8234.16,7003.266,11656.054,8741.816916666665,1756.6670750124197
2018-01-02 07:00:00,9537.938,7,1,1,2,9502.532,8234.16,10958.35,8652.086833333333,1653.2957314244804
2018-01-02 07:30:00,10391.854,7,1,1,2,9537.938,9502.532,10589.702,8592.903,1591.4132754588873
2018-01-02 08:00:00,10825.056,8,1,1,2,10391.854,9537.938,10248.144,8584.659333333333,1581.0989624321621
2018-01-02 08:30:00,10845.874,8,1,1,2,10825.056,10391.854,9771.206,8608.697333333332,1611.5807598133522
2018-01-02 09:00:00,11404.04,9,1,1,2,10845.874,10825.056,9163.045999999998,8653.475166666667,1659.5028102655558
2018-01-02 09:30:00,11466.522,9,1,1,2,11404.04,10845.874,8840.22,8746.849916666668,1750.0004036162004
2018-01-02 10:00:00,11279.09,10,1,1,2,11466.522,11404.04,9667.06,8856.279166666667,1836.0879549522317
2018-01-02 10:30:00,11035.406,10,1,1,2,11279.09,11466.522,10004.46,8923.447083333334,1895.5601051230888
2018-01-02 11:00:00,10885.452,11,1,1,2,11035.406,11279.09,10233.556,8966.403166666667,1932.4449788723653
2018-01-02 11:30:00,10816.726,11,1,1,2,10885.452,11035.406,10173.16,8993.5655,1955.474676297404
2018-01-02 12:00:00,10725.082,12,1,1,2,10816.726,10885.452,10200.236,9020.38075,1976.6515545111235
2018-01-02 12:30:00,10683.432,12,1,1,2,10725.082,10816.726,9752.46,9042.249333333333,1993.1071631259283
2018-01-02 13:00:00,10683.432,13,1,1,2,10683.432,10725.082,9304.67,9081.039833333334,2016.4531953746582
2018-01-02 13:30:00,10595.96,13,1,1,2,10683.432,10683.432,8434.094000000001,9138.48825,2042.572576121407
2018-01-02 14:00:00,10468.91,14,1,1,2,10595.96,10683.432,7611.426,9228.566,2057.7708430554276
2018-01-02 14:30:00,10235.642,14,1,1,2,10468.91,10595.96,6997.022000000001,9347.627833333334,2042.7472289642242
2018-01-02 15:00:00,10193.992,15,1,1,2,10235.642,10468.91,6503.424,9482.570333333333,1986.9242939812164
2018-01-02 15:30:00,10310.626,15,1,1,2,10193.992,10235.642,6126.446,9636.344,1886.6149026328935
2018-01-02 16:00:00,10383.51,16,1,1,2,10310.626,10193.992,5939.0,9810.684833333335,1735.4370707008516
2018-01-02 16:30:00,10785.478,16,1,1,2,10383.51,10310.626,5988.994000000001,9995.87275,1529.210903100915
